Username,Repo_Name,Repo_Url,Stars
CSSEGISandData,COVID-19,https://www.github.com/CSSEGISandData/COVID-19,28500
covid19india,covid19india-react,https://www.github.com/covid19india/covid19india-react,6900
nytimes,covid-19-data,https://www.github.com/nytimes/covid-19-data,6800
tokyo-metropolitan-gov,covid19,https://www.github.com/tokyo-metropolitan-gov/covid19,6300
owid,covid-19-data,https://www.github.com/owid/covid-19-data,5100
pcm-dpc,COVID-19,https://www.github.com/pcm-dpc/COVID-19,3900
ieee8023,covid-chestxray-dataset,https://www.github.com/ieee8023/covid-chestxray-dataset,2800
disease-sh,API,https://www.github.com/disease-sh/API,2400
geohot,corona,https://www.github.com/geohot/corona,2200
WorldHealthOrganization,app,https://www.github.com/WorldHealthOrganization/app,2100
ahmadawais,corona-cli,https://www.github.com/ahmadawais/corona-cli,1800
corona-warn-app,cwa-server,https://www.github.com/corona-warn-app/cwa-server,1800
ExpDev07,coronavirus-tracker-api,https://www.github.com/ExpDev07/coronavirus-tracker-api,1600
github,covid19-dashboard,https://www.github.com/github/covid19-dashboard,1500
soroushchehresa,awesome-coronavirus,https://www.github.com/soroushchehresa/awesome-coronavirus,1500
mhdhejazi,CoronaTracker,https://www.github.com/mhdhejazi/CoronaTracker,1500
neherlab,covid19_scenarios,https://www.github.com/neherlab/covid19_scenarios,1400
covidpass-org,covidpass,https://www.github.com/covidpass-org/covidpass,1200
pomber,covid19,https://www.github.com/pomber/covid19,1200
chandrikadeb7,Face-Mask-Detection,https://www.github.com/chandrikadeb7/Face-Mask-Detection,1200
chrismattmann,tika-python,https://www.github.com/chrismattmann/tika-python,1100
datasets,covid-19,https://www.github.com/datasets/covid-19,1100
FoldingAtHome,coronavirus,https://www.github.com/FoldingAtHome/coronavirus,1100
lindawangg,COVID-Net,https://www.github.com/lindawangg/COVID-Net,1100
cyberman54,ESP32-Paxcounter,https://www.github.com/cyberman54/ESP32-Paxcounter,991
ImperialCollegeLondon,covid19model,https://www.github.com/ImperialCollegeLondon/covid19model,943
UCSD-AI4H,COVID-CT,https://www.github.com/UCSD-AI4H/COVID-CT,942
MoH-Malaysia,covid19-public,https://www.github.com/MoH-Malaysia/covid19-public,917
nychealth,coronavirus-data,https://www.github.com/nychealth/coronavirus-data,910
cirosantilli,china-dictatorship,https://www.github.com/cirosantilli/china-dictatorship,787
